risk_id	risk_domain	risk_event	severity	preventive_control	detective_control	evidence_artifact	current_mvp_status
RISK-001	AI内容	候选试验事实抽取错误	high	候选事实不得自动生效且必须携带来源	置信度提示与人工逐项确认	事实来源记录和确认日志	partial
RISK-002	文档质量	语义冲突或旧值残留漏检	high	确定性字段比较与依赖图传播	独立质量门和回归测试	冲突清单影响矩阵和测试报告	implemented_in_synthetic_mvp
RISK-003	规则治理	企业SOP或法规规则误适用	high	规则绑定适用范围版本和生效状态	作用域过滤与人工法规审核	规则版本记录和适用性决定	partial
RISK-004	版本控制	AI静默覆盖正式归档文档	critical	只生成候选副本并禁止写回正式版本	文档哈希版本比对与审计日志	候选红线稿和版本记录	implemented_as_review_only
RISK-005	数据安全	未授权访问受试者或管线资料	critical	项目与角色双层最小权限和数据隔离	访问日志异常访问告警	访问审计记录	planned
RISK-006	人员使用	用户过度信任AI输出	high	强制显示AI辅助来源和责任边界	导出前专业确认和抽检	审核人批准记录	partial
RISK-007	知识记忆	历史错误或过期经验被复用	high	仅允许approved且作用域有效的经验进入上下文	过期状态和作用域拒绝测试	记忆准入日志和来源链	implemented_in_mvp
RISK-008	项目落地	部门接受度不足导致采用率低	medium	小范围POC和按岗位培训	使用率与反馈问题月度复盘	POC使用分析	planned
RISK-009	法规运维	法规更新后规则库滞后	high	法规监测责任人和紧急更新流程	版本差异检查和回归测试	法规变更单与验证报告	planned
RISK-010	证据质量	市场和收益数字被误当成已验证事实	high	商业主张证据状态分级	发布前引用和数字核验	business_claim_validation.tsv	implemented_as_governance_artifact
RISK-011	审计保留	统一永久保存日志造成合规或成本问题	medium	按数据类别法规和企业SOP配置保存期限	周期性保留策略审计	数据保留策略与删除证明	planned
