unit_id	document_type	unit_name	zh_name	likely_fact_dependencies	common_consistency_tests	supporting_source_ids	notes
DU-001	protocol	protocol_synopsis	方案摘要	primary_endpoint; target_sample_size; study_population; treatment_arms; visit_schedule	compare synopsis values against detailed sections and registry fields	MED-002;ADOC-016	Synopsis is short but repeats most high-value facts.
DU-002	protocol	study_rationale	研究背景与依据	study_population; treatment_arms; safety_assessments	check rationale does not imply unsupported population or endpoint claims	MED-002;MED-013	Mostly semantic and evidence-linked checks.
DU-003	protocol	objectives_and_endpoints	研究目的与终点	primary_endpoint; secondary_endpoints; endpoint_assessment_timepoint	ensure endpoint names, hierarchy and timepoints match SAP and registry	MED-002;ADOC-012	Core unit for Trial Fact Sheet.
DU-004	protocol	study_design	研究设计	target_sample_size; randomization; blinding; treatment_arms	check sample size, allocation ratio, phase and design type consistency	MED-002;ADOC-016	High dependency with SAP and synopsis.
DU-005	protocol	eligibility_criteria	入排标准	study_population; inclusion_criteria; exclusion_criteria	check thresholds and terms against ICF and registry eligibility	MED-002;ADOC-012	Contains many list-level facts.
DU-006	protocol	interventions	干预与给药	treatment_arms; dosing_regimen; blinding	check dose, route, frequency, arm labels and duration consistency	MED-002;ADOC-012	Links to ICF procedures and SoA.
DU-007	protocol	schedule_of_activities	访视流程表	visit_schedule; endpoint_assessment_timepoint; safety_assessments; dosing_regimen	check all visits and assessment windows agree with text and ICF	MED-002;ADOC-016	SoA is the strongest visual dependency hub.
DU-008	protocol	safety_assessment	安全性评估	safety_assessments; adverse_event_window; dosing_regimen	check AE windows, safety labs and monitoring align with risk statements	MED-002;ADOC-001	Connects protocol, ICF and SAP.
DU-009	protocol	statistical_analysis	统计分析	primary_endpoint; estimand; analysis_populations; statistical_method_primary; interim_analysis	check endpoint-method-population-estimand alignment	ADOC-005;ADOC-011	Requires deterministic and semantic tests.
DU-010	protocol	version_history	版本历史	version_effective_date; protocol_amendment_reason	check amendment rationale links to changed facts and affected units	ADOC-015;BUR-004	Change trace anchor.
DU-011	SAP	SAP_endpoints	SAP 终点定义	primary_endpoint; secondary_endpoints; endpoint_assessment_timepoint	check exact endpoint definitions and windows against protocol	ADOC-005;ADOC-011	SAP should not silently redefine endpoints.
DU-012	SAP	SAP_analysis_sets	SAP 分析人群	analysis_populations; study_population	check analysis sets are defined and used consistently	ADOC-005;ADOC-011	Important for downstream tables.
DU-013	SAP	SAP_methods	SAP 统计方法	statistical_method_primary; estimand; interim_analysis	check primary method, sensitivity methods and estimand links	ADOC-005;ADOC-011	Needs statistics reviewer.
DU-014	ICF	ICF_purpose	知情同意研究目的	study_population; primary_endpoint	check patient-facing purpose does not overclaim benefit	ADOC-001;ADOC-002;ADOC-018	Good place for safety and ethics review.
DU-015	ICF	ICF_procedures	知情同意研究流程	visit_schedule; dosing_regimen; safety_assessments	check procedures match protocol visits and intervention descriptions	ADOC-001;ADOC-018	Participant-facing consistency target.
DU-016	ICF	ICF_risks_benefits	知情同意风险获益	safety_assessments; adverse_event_window; participant_burden	check risk statements align with safety monitoring and burden	ADOC-001;ADOC-018	Ethics-sensitive unit.
DU-017	registry	registry_design	注册研究设计	study_population; target_sample_size; randomization; treatment_arms	check registry design fields mirror approved protocol	ADOC-012;ADOC-014	Registry is a structured external representation.
DU-018	registry	registry_outcomes	注册结果指标	primary_endpoint; secondary_endpoints; registry_outcome_measure; endpoint_assessment_timepoint	check outcome names, measure type and time frame against protocol/SAP	ADOC-012;ADOC-013	Classic stale-value location after endpoint change.
DU-019	CSR	CSR_protocol_summary	CSR 方案摘要	primary_endpoint; treatment_arms; visit_schedule; protocol_amendment_reason	check CSR protocol summary reflects final approved protocol version	ADOC-015	Useful later for end-to-end lifecycle story.
DU-020	review_artifact	change_impact_matrix	变更影响矩阵	protocol_amendment_reason; source_evidence_locator; version_effective_date	check every changed fact has affected units and reviewer status	BUR-004;MED-001	This is a core TrialCompiler generated artifact.
DU-021	review_artifact	document_unit_test_report	文档单元测试报告	all active facts	check deterministic conflicts, missing fields, stale text and semantic drift	MED-001;BUS-001	Main software output for Best Software style demonstration.
DU-022	review_artifact	evidence_table	证据表	source_evidence_locator; approval_status; applicability_scope	check each active fact has source and review status	MED-001;ADOC-006	Supports traceability and auditability.
DU-023	protocol	participant_timeline	受试者时间线	visit_schedule; participant_burden; endpoint_assessment_timepoint	check timeline matches SoA, ICF and endpoint windows	SOA-001;SOA-002;SOA-008	SPIRIT-style participant timeline unit.
DU-024	protocol	PRO_assessments	患者报告结局评估	endpoint_assessment_timepoint; registry_outcome_measure; visit_schedule	check PRO assessment windows match SoA, SAP and registry outcome time frames	SOA-010;ADOC-012	Only applies when PRO endpoints or assessments exist.
DU-025	execution	CRF_eCRF	病例报告表与电子采集表	data_collection_fields; visit_schedule; endpoint_assessment_timepoint	check CRF fields match protocol endpoint, SoA, safety and eligibility requirements	MT-M4-01;MT-M1-01	Execution-facing document/system unit.
DU-026	execution	IWRS_IRT	随机与药物供应系统	IWRS_IRT_configuration; treatment_arms; stratification_factors; dosing_regimen	check treatment arms, randomization ratio, stratification and supply settings align with protocol/SAP	MT-M2-07;MT-M2-08	Can be a later-stage graph node even if not in MVP.
DU-027	execution	EDC_edit_checks	EDC 核查规则	data_collection_fields; eligibility_criteria; safety_assessments	check edit checks reflect protocol thresholds and data collection windows	MT-M1-01;MT-M4-01	Useful for demonstrating that document facts propagate into systems.
DU-028	manual	pharmacy_manual	药物手册	dosing_regimen; treatment_arms; blinding	check dose, route, blinding and supply instructions align with protocol	MT-M2-07;MT-M4-01	Execution manual connected to intervention facts.
DU-029	manual	laboratory_manual	实验室手册	safety_assessments; visit_schedule; data_collection_fields	check lab collection windows and safety assessments align with SoA and protocol	MT-M1-01;SOA-001	Manual node for later graph expansion.
DU-030	manual	imaging_manual	影像手册	endpoint_assessment_timepoint; visit_schedule; data_collection_fields	check imaging schedule and endpoint assessment windows align with protocol and SoA	MT-M1-01;SOA-001	Optional depending on trial type.
