fact_field_id	field_name	zh_name	fact_type	data_type	typical_sources	affected_document_units	high_risk	confirmation_roles	supporting_source_ids	notes
TFF-001	primary_endpoint	主要终点	design_fact	structured_text	protocol; protocol synopsis; registry; SAP	objectives_and_endpoints; protocol_synopsis; statistical_analysis; registry_outcomes; SAP_endpoints	yes	medical; statistics; regulatory	MED-001;MED-002;ADOC-012;ADOC-005	Primary endpoint changes often propagate across multiple documents and are high-risk for stale text.
TFF-002	secondary_endpoints	次要终点	design_fact	list	protocol; synopsis; registry; SAP	objectives_and_endpoints; registry_outcomes; SAP_endpoints	yes	medical; statistics; regulatory	MED-001;MED-002;ADOC-012;ADOC-005	Needs consistent naming, hierarchy, and assessment windows.
TFF-003	endpoint_assessment_timepoint	终点评估时间	design_fact	timepoint	protocol; SoA; registry; SAP; ICF	objectives_and_endpoints; schedule_of_activities; registry_outcomes; SAP_methods; ICF_procedures	yes	medical; operations; statistics	MED-002;ADOC-012;ADOC-013;ADOC-005	Typical change-impact example: Week 12 to Week 16.
TFF-004	target_sample_size	目标样本量	design_fact	integer	protocol; synopsis; SAP; registry	study_design; protocol_synopsis; statistical_analysis; registry_enrollment; SAP_sample_size	yes	statistics; medical; regulatory	MED-002;ADOC-012;ADOC-005	Sample size must align with power assumptions and registry enrollment fields.
TFF-005	study_population	研究人群	design_fact	structured_text	protocol; synopsis; ICF; registry	study_population; eligibility; ICF_study_purpose; registry_population	yes	medical; regulatory; ethics	MED-002;ADOC-012;ADOC-001	Population wording controls downstream inclusion/exclusion and consent clarity.
TFF-006	inclusion_criteria	入组标准	design_fact	list	protocol; ICF; registry	eligibility_criteria; ICF_participation; registry_eligibility	yes	medical; operations; regulatory	MED-002;ADOC-012;ADOC-001	Criteria often duplicate across protocol and registry; exact thresholds are high-risk.
TFF-007	exclusion_criteria	排除标准	design_fact	list	protocol; ICF; registry	eligibility_criteria; ICF_participation; registry_eligibility	yes	medical; safety; regulatory	MED-002;ADOC-012;ADOC-001	Needs consistency with risk mitigation and prohibited therapies.
TFF-008	treatment_arms	治疗组别	design_fact	list	protocol; synopsis; SoA; ICF; registry	study_design; interventions; schedule_of_activities; ICF_procedures; registry_arms	yes	medical; operations; regulatory	MED-002;ADOC-012;ADOC-001	Arm labels must stay synchronized with dosing and visit schedule.
TFF-009	dosing_regimen	给药方案	design_fact	structured_text	protocol; SoA; ICF; registry	interventions; schedule_of_activities; ICF_procedures; registry_interventions	yes	medical; safety; operations	MED-002;ADOC-012;ADOC-001	Includes dose, route, frequency, duration, and permitted modifications.
TFF-010	randomization	随机化设计	design_fact	structured_text	protocol; SAP; synopsis	study_design; statistical_analysis; SAP_randomization	yes	statistics; operations; medical	MED-002;ADOC-005	Randomization ratio and stratification factors should be consistent.
TFF-011	blinding	盲法设计	design_fact	structured_text	protocol; synopsis; ICF; SAP	study_design; ICF_procedures; SAP_methods	yes	medical; operations; statistics	MED-002;ADOC-001;ADOC-005	Blinding language must align with operational procedures and analysis plan.
TFF-012	visit_schedule	访视安排	design_fact	table	protocol; SoA; ICF; registry	schedule_of_activities; visits_and_procedures; ICF_schedule; registry_design	yes	operations; medical; ethics	MED-002;ADOC-016;ADOC-001	Visit schedule is a central dependency hub for timepoints and burden.
TFF-013	safety_assessments	安全性评估	design_fact	list	protocol; SoA; ICF; SAP	safety_assessment; schedule_of_activities; ICF_risks; SAP_safety	yes	safety; medical; ethics	MED-002;ADOC-001;ADOC-005	Needs alignment between risks, monitoring, procedures, and analysis.
TFF-014	adverse_event_window	不良事件观察窗口	design_fact	time_range	protocol; ICF; SAP	safety_assessment; ICF_risks; SAP_safety	yes	safety; medical; statistics	MED-002;ADOC-001;ADOC-005	Mismatched AE windows can produce serious review defects.
TFF-015	estimand	估计目标	design_fact	structured_text	protocol; SAP; statistical appendix	statistical_analysis; SAP_estimand; endpoint_definitions	yes	statistics; medical	MED-016;ADOC-005	ICH E9(R1)-related field; must connect endpoint, population, treatment and intercurrent events.
TFF-016	analysis_populations	分析人群	design_fact	list	protocol; SAP	statistical_analysis; SAP_analysis_sets	yes	statistics; medical	ADOC-005;ADOC-011	Typical units: ITT, mITT, PP, safety population.
TFF-017	statistical_method_primary	主要终点统计方法	design_fact	structured_text	protocol; SAP	statistical_analysis; SAP_methods	yes	statistics; medical	ADOC-005;ADOC-011	High-risk dependency between endpoint type, sample size, estimand and analysis model.
TFF-018	interim_analysis	期中分析	design_fact	structured_text	protocol; SAP; DSMB charter	statistical_analysis; SAP_interim; safety_monitoring	yes	statistics; safety; medical	MED-002;ADOC-005	Needs timing, decision rules, alpha spending or other controls when applicable.
TFF-019	protocol_amendment_reason	方案修订原因	change_fact	structured_text	amendment history; meeting minutes	amendment_history; change_impact_report; redline_summary	yes	medical; regulatory; quality	BUR-004;BUR-005	Supports change-impact trace and rationale.
TFF-020	version_effective_date	版本生效日期	version_fact	date	protocol; associated documents; DMS	document_header; version_history; audit_log	yes	quality; regulatory	MED-001;ADOC-015	Version drift control requires explicit effective status.
TFF-021	source_evidence_locator	来源证据位置	provenance_fact	pointer	source documents; comments; meeting minutes	Trial_Fact_Sheet; evidence_table; audit_log	yes	all roles	MED-001;MED-002	Every active fact should trace to source file and location.
TFF-022	approval_status	审核状态	governance_fact	enum	workflow; review log	Trial_Fact_Sheet; audit_log; approval_report	yes	authorized reviewer; quality	MED-001;ADOC-006	Candidate facts should not drive final documents before approval.
TFF-023	applicability_scope	适用范围	governance_fact	structured_text	rule library; expert comments	rule_constraints; experience_memory; review_report	yes	quality; domain expert	BUS-001;BUS-002	Prevents project-specific expert advice from becoming an unsafe general rule.
TFF-024	participant_burden	受试者负担	design_fact	structured_text	protocol; ICF; SoA; patient-facing materials	ICF_schedule; schedule_of_activities; risk_benefit	medium	medical; ethics; operations	ADOC-001;ADOC-016	Burden is often implicit but important for consent and protocol feasibility.
TFF-025	registry_outcome_measure	注册终点字段	registry_fact	structured_text	ClinicalTrials.gov; registry export	registry_outcomes; endpoint_definitions; SAP_endpoints	yes	regulatory; statistics; medical	ADOC-012;ADOC-013	Registry wording must remain synchronized with protocol/SAP endpoints.
TFF-026	control_group_design	对照组设计	design_fact	structured_text	protocol; SAP; synopsis	study_design; statistical_analysis; ICF_procedures	yes	medical; statistics; ethics	MT-M2-07	Includes placebo, active control, dose-response, superiority, non-inferiority and ethical rationale.
TFF-027	stratification_factors	随机化分层因素	design_fact	list	protocol; SAP; IWRS/IRT configuration	study_design; SAP_randomization; IWRS_IRT_configuration	high	statistics; operations; medical	MT-M2-03;MT-M2-08	Stratification factors must remain aligned across protocol, SAP and randomization systems.
TFF-028	data_collection_fields	数据采集字段	execution_fact	list	protocol; SoA; CRF/eCRF; EDC edit checks	CRF_eCRF; EDC_edit_checks; schedule_of_activities	high	data management; medical; operations	MT-M1-01;MT-M4-01	Execution-facing representation of protocol facts.
TFF-029	IWRS_IRT_configuration	随机与药物供应系统配置	execution_fact	structured_text	protocol; IWRS/IRT specification; treatment manual	IWRS_IRT; interventions; pharmacy_manual	high	operations; statistics; supply; medical	MT-M2-07;MT-M2-08	Links randomization, stratification, treatment arms and drug supply.
TFF-030	stopping_rules	停药暂停与终止标准	safety_fact	list	protocol; ICF; safety manual; SAP	safety_assessment; ICF_risks; SAP_safety	high	medical; safety; ethics	MT-M1-06;MT-M2-16	Important for safety monitoring and participant-facing risk communication.
TFF-031	protocol_deviation_rules	方案偏离规则	quality_fact	structured_text	protocol; monitoring plan; deviation guidance	protocol_deviation_log; quality_review; site_training	medium	quality; operations; medical	MT-M2-05	Draft guidance only when FDA source is draft; keep status visible.
