metric_id	metric_name	zh_name	evaluation_layer	what_it_measures	required_inputs	expected_output	gold_label_source	baseline_models_or_systems	notes
TDB-M001	fact_extraction_precision	关键事实抽取精确率	Trial Fact Sheet	Extracted candidate facts that are correct and source-supported	synthetic protocol package; public template-derived text	candidate facts with source locations	human-curated synthetic gold facts	LLM only; RAG; TrialCompiler without human gate	High precision is needed before asking experts to confirm facts.
TDB-M002	fact_extraction_recall	关键事实抽取召回率	Trial Fact Sheet	How many required design facts are found	synthetic protocol package; public template-derived text	candidate facts with source locations	human-curated synthetic gold facts	LLM only; RAG; TrialCompiler without fact dictionary	Low recall causes hidden downstream inconsistency.
TDB-M003	confirmed_fact_gate_violation_rate	未确认事实误用率	Governance	Whether unconfirmed candidate facts are used in generated output	candidate facts with mixed statuses	draft sections and redlines	status-labeled fact sheet	LLM only; RAG; no-gate agent	Lower is better; should be zero for high-risk facts.
TDB-M004	cross_document_conflict_recall	跨文件冲突召回率	Document Unit Tests	Known conflicts detected across sections, tables and associated documents	synthetic document graph with injected inconsistencies	conflict list with evidence links	injected defect manifest	LLM judge; deterministic grep; single-agent reviewer	Core metric for protocol/SAP/ICF/SoA consistency.
TDB-M005	cross_document_conflict_precision	跨文件冲突精确率	Document Unit Tests	Reported conflicts that are true issues	synthetic document graph with injected inconsistencies	conflict list with evidence links	injected defect manifest	LLM judge; deterministic grep; single-agent reviewer	Controls false alarms and reviewer fatigue.
TDB-M006	stale_value_detection_rate	旧值残留检出率	Change Impact Analysis	Ability to detect old values after a fact change	fact change pair; updated and stale document units	stale value findings	gold stale-value locations	full-text search; LLM only; TrialCompiler graph version	Example: Week 12 remnants after Week 16 change.
TDB-M007	impact_location_recall	影响位置召回率	Clinical Document Graph	How many impacted document units are identified for a fact change	fact change; document graph; document package	impact matrix	gold impact matrix from synthetic dependency graph	full-text search; no-graph RAG; LLM only	Most important metric for change propagation.
TDB-M008	over_edit_rate	过度修改率	Repair Builder	Whether unrelated text is unnecessarily changed	source document and candidate redline	minimal redline	unaffected text mask	LLM rewrite; RAG rewrite; TrialCompiler without minimal-edit constraint	Lower is better; important for regulated document review.
TDB-M009	redline_acceptability_rate	候选红线可接受率	Repair Builder	Proposed revisions accepted by reviewer without major rewrite	candidate redlines; issue list	human accept/revise/reject labels	expert or trained annotator review	LLM rewrite; single-agent repair; TrialCompiler multi-agent	Requires future human evaluation.
TDB-M010	revalidation_pass_rate	重新验证通过率	Quality Judge	Whether repaired documents pass relevant tests after revision	repaired document package	test results	unit test expected outcomes	no-quality-gate ablation; single-pass repair	Shows value of D-agent independent quality gate.
TDB-M011	task_closure_rate	变更任务关闭率	Workflow	Whether all impacted tasks reach reviewed/closed status	impact matrix; owners; task states	closed task set	synthetic workflow state graph	impact-only system; manual checklist	Reflects competitor-analysis insight: value extends from finding impact to closing tasks.
TDB-M012	audit_trace_completeness	审计追溯完整率	Audit	Whether each output links to fact, source, rule, model, prompt and human decision	agent trace; output packet	audit checklist	completeness rubric	LLM only; RAG; no-trace agent	Critical for regulated settings.
TDB-M013	rule_scope_error_rate	规则适用范围错误率	Knowledge Governance	Wrong use of expired, draft, regional or out-of-scope rule	knowledge cards with scope metadata	applied rules and rationales	scope-labeled knowledge base	vector-only RAG; no-scope retrieval	Tests Clinical Semantic Element and metadata gates.
TDB-M014	experience_reuse_precision	经验复用精确率	Experience Compiler	Reused experience that is applicable to current project context	experience library; project context	retrieved experience cards	human applicability labels	plain memory; vector RAG; TrialCompiler governed memory	Useful for proving memory is not just a chat log.
TDB-M015	china_localization_coverage	中国药企适配覆盖率	Product Fit	Coverage of NMPA/CDE, Chinese templates, Chinese terminology and local workflow needs	source index; product feature list	coverage checklist	teammate/local expert review	generic English protocol copilot	Competition-specific metric; needs future expert scoring.
